bill_number,chamber,status,success,motion_text,vote_location,vote_date,vote_result,vote_threshold,yes_count,no_count,other_count,total_votes,vote_threshold_num,vote_margin
AB 1018,Assembly,Ordered to inactive file at the request of Senator Wiener.,Failed,Do pass and be re-referred to the Committee on [Judiciary],Assembly,2025-04-22T07:00:00+00:00,pass,1/2,9,3,3,15.0,41.0,-32.0
AB 1018,Assembly,Ordered to inactive file at the request of Senator Wiener.,Failed,Do pass as amended and be re-referred to the Committee on [Appropriations],Assembly,2025-04-29T07:00:00+00:00,pass,1/2,8,3,1,12.0,41.0,-33.0
AB 1018,Assembly,Ordered to inactive file at the request of Senator Wiener.,Failed,Do pass.,Assembly,2025-05-23T07:00:00+00:00,pass,1/2,10,3,2,15.0,41.0,-31.0
AB 1018,Assembly,Ordered to inactive file at the request of Senator Wiener.,Failed,AB 1018 Bauer-Kahan Assembly Third Reading,Assembly,2025-06-03T03:10:50+00:00,pass,1/2,50,16,13,79.0,41.0,9.0
AB 1018,Assembly,Ordered to inactive file at the request of Senator Wiener.,Failed,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",Senate,2025-07-15T07:00:00+00:00,pass,1/2,11,2,0,13.0,21.0,-10.0
AB 1018,Assembly,Ordered to inactive file at the request of Senator Wiener.,Failed,Placed on suspense file,Senate,2025-08-18T07:00:00+00:00,pass,1/2,7,0,0,7.0,21.0,-14.0
AB 1018,Assembly,Ordered to inactive file at the request of Senator Wiener.,Failed,Do pass,Senate,2025-08-29T07:00:00+00:00,pass,1/2,5,2,0,7.0,21.0,-16.0
AB 1043,Assembly,Approved by the Governor.,Signed,Do pass and be re-referred to the Committee on [Judiciary],Assembly,2025-04-22T07:00:00+00:00,pass,1/2,13,0,2,15.0,41.0,-28.0
AB 1043,Assembly,Approved by the Governor.,Signed,Do pass and be re-referred to the Committee on [Appropriations],Assembly,2025-04-29T07:00:00+00:00,pass,1/2,12,0,0,12.0,41.0,-29.0
AB 1043,Assembly,Approved by the Governor.,Signed,Do pass as amended.,Assembly,2025-05-23T07:00:00+00:00,pass,1/2,11,0,4,15.0,41.0,-30.0
AB 1043,Assembly,Approved by the Governor.,Signed,AB 1043 Wicks Assembly Third Reading,Assembly,2025-06-03T02:20:16+00:00,pass,1/2,76,0,3,79.0,41.0,35.0
AB 1043,Assembly,Approved by the Governor.,Signed,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",Senate,2025-07-15T07:00:00+00:00,pass,1/2,12,0,1,13.0,21.0,-9.0
AB 1043,Assembly,Approved by the Governor.,Signed,Placed on suspense file,Senate,2025-08-18T07:00:00+00:00,pass,1/2,7,0,0,7.0,21.0,-14.0
AB 1043,Assembly,Approved by the Governor.,Signed,Do pass,Senate,2025-08-29T07:00:00+00:00,pass,1/2,7,0,0,7.0,21.0,-14.0
AB 1043,Assembly,Approved by the Governor.,Signed,3rd Reading AB1043 Wicks et al. By Umberg,Senate,2025-09-12T07:00:00+00:00,pass,1/2,38,0,2,40.0,21.0,17.0
AB 1043,Assembly,Approved by the Governor.,Signed,AB 1043 WICKS Concurrence in Senate Amendments,Assembly,2025-09-13T09:32:08+00:00,pass,1/2,77,0,3,80.0,41.0,36.0
AB 1053,Assembly,In committee: Held under submission.,Failed,Do pass and be re-referred to the Committee on [Appropriations],Assembly,2025-04-30T07:00:00+00:00,pass,1/2,7,1,1,9.0,41.0,-34.0
AB 1064,Assembly,Vetoed by Governor.,Vetoed,Do pass and be re-referred to the Committee on [Judiciary],Assembly,2025-04-22T07:00:00+00:00,pass,1/2,10,3,2,15.0,41.0,-31.0
AB 1064,Assembly,Vetoed by Governor.,Vetoed,Do pass as amended and be re-referred to the Committee on [Appropriations],Assembly,2025-04-29T07:00:00+00:00,pass,1/2,9,3,0,12.0,41.0,-32.0
AB 1064,Assembly,Vetoed by Governor.,Vetoed,Do pass as amended.,Assembly,2025-05-23T07:00:00+00:00,pass,1/2,11,3,1,15.0,41.0,-30.0
AB 1064,Assembly,Vetoed by Governor.,Vetoed,AB 1064 Bauer-Kahan Assembly Third Reading,Assembly,2025-06-03T03:22:39+00:00,pass,1/2,59,12,8,79.0,41.0,18.0
AB 1064,Assembly,Vetoed by Governor.,Vetoed,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",Senate,2025-07-15T07:00:00+00:00,pass,1/2,11,1,1,13.0,21.0,-10.0
AB 1064,Assembly,Vetoed by Governor.,Vetoed,Placed on suspense file,Senate,2025-08-18T07:00:00+00:00,pass,1/2,7,0,0,7.0,21.0,-14.0
AB 1064,Assembly,Vetoed by Governor.,Vetoed,Do pass as amended,Senate,2025-08-29T07:00:00+00:00,pass,1/2,5,2,0,7.0,21.0,-16.0
AB 1064,Assembly,Vetoed by Governor.,Vetoed,3rd Reading AB1064 Bauer-Kahan et al. By Ashby,Senate,2025-09-10T07:00:00+00:00,pass,1/2,31,6,3,40.0,21.0,10.0
AB 1064,Assembly,Vetoed by Governor.,Vetoed,AB 1064 Bauer-Kahan Concurrence in Senate Amendments,Assembly,2025-09-12T03:48:38+00:00,pass,1/2,60,8,12,80.0,41.0,19.0
AB 1095,Assembly,In committee: Held under submission.,Failed,Do pass and be re-referred to the Committee on [Natural Resources] with recommendation: To Consent Calendar,Assembly,2025-04-23T07:00:00+00:00,pass,1/2,18,0,0,18.0,41.0,-23.0
AB 1095,Assembly,In committee: Held under submission.,Failed,Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar,Assembly,2025-04-28T07:00:00+00:00,pass,1/2,14,0,0,14.0,41.0,-27.0
AB 1137,Assembly,In committee: Held under submission.,Failed,Do pass and be re-referred to the Committee on [Judiciary],Assembly,2025-04-22T07:00:00+00:00,pass,1/2,13,0,2,15.0,41.0,-28.0
AB 1137,Assembly,In committee: Held under submission.,Failed,Do pass and be re-referred to the Committee on [Appropriations],Assembly,2025-04-29T07:00:00+00:00,pass,1/2,11,0,1,12.0,41.0,-30.0
AB 1159,Assembly,"In committee: Set, first hearing. Hearing canceled at the request of author.",Failed,,,,,,,,,,,
AB 1221,Assembly,In committee: Held under submission.,Failed,Do pass and be re-referred to the Committee on [Privacy and Consumer Protection],Assembly,2025-04-02T07:00:00+00:00,pass,1/2,5,0,2,7.0,41.0,-36.0
AB 1221,Assembly,In committee: Held under submission.,Failed,Do pass as amended and be re-referred to the Committee on [Appropriations],Assembly,2025-05-01T07:00:00+00:00,pass,1/2,10,1,4,15.0,41.0,-31.0
AB 1242,Assembly,In committee: Held under submission.,Failed,Do pass and be re-referred to the Committee on [Human Services],Assembly,2025-04-22T07:00:00+00:00,pass,1/2,16,0,0,16.0,41.0,-25.0
AB 1242,Assembly,In committee: Held under submission.,Failed,Do pass and be re-referred to the Committee on [Appropriations],Assembly,2025-04-29T07:00:00+00:00,pass,1/2,6,0,1,7.0,41.0,-35.0
AB 1242,Assembly,In committee: Held under submission.,Failed,Do pass as amended.,Assembly,2025-05-23T07:00:00+00:00,pass,1/2,11,1,3,15.0,41.0,-30.0
AB 1242,Assembly,In committee: Held under submission.,Failed,AB 1242 Nguyen Assembly Third Reading,Assembly,2025-06-04T00:49:23+00:00,pass,1/2,72,3,4,79.0,41.0,31.0
AB 1242,Assembly,In committee: Held under submission.,Failed,"Do pass, but first be re-referred to the Committee on [Governmental Organization]",Senate,2025-07-02T07:00:00+00:00,pass,1/2,10,0,1,11.0,21.0,-11.0
AB 1242,Assembly,In committee: Held under submission.,Failed,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",Senate,2025-07-08T07:00:00+00:00,pass,1/2,11,0,4,15.0,21.0,-10.0
AB 1242,Assembly,In committee: Held under submission.,Failed,Placed on suspense file,Senate,2025-08-18T07:00:00+00:00,pass,1/2,7,0,0,7.0,21.0,-14.0
AB 1331,Assembly,Ordered to inactive file at the request of Senator Limón.,Failed,Do pass and be re-referred to the Committee on [Privacy and Consumer Protection],Assembly,2025-04-02T07:00:00+00:00,pass,1/2,5,0,2,7.0,41.0,-36.0
AB 1331,Assembly,Ordered to inactive file at the request of Senator Limón.,Failed,Do pass as amended and be re-referred to the Committee on [Judiciary],Assembly,2025-04-22T07:00:00+00:00,pass,1/2,10,3,2,15.0,41.0,-31.0
AB 1331,Assembly,Ordered to inactive file at the request of Senator Limón.,Failed,Do pass as amended.,Assembly,2025-05-23T07:00:00+00:00,pass,1/2,11,3,1,15.0,41.0,-30.0
AB 1331,Assembly,Ordered to inactive file at the request of Senator Limón.,Failed,AB 1331 Elhawary Assembly Third Reading,Assembly,2025-06-06T00:00:56+00:00,pass,1/2,55,15,9,79.0,41.0,14.0
AB 1331,Assembly,Ordered to inactive file at the request of Senator Limón.,Failed,"Do pass, but first be re-referred to the Committee on [Judiciary]",Senate,2025-06-25T07:00:00+00:00,pass,1/2,4,1,0,5.0,21.0,-17.0
AB 1331,Assembly,Ordered to inactive file at the request of Senator Limón.,Failed,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",Senate,2025-07-15T07:00:00+00:00,pass,1/2,9,2,2,13.0,21.0,-12.0
AB 1331,Assembly,Ordered to inactive file at the request of Senator Limón.,Failed,Placed on suspense file,Senate,2025-08-18T07:00:00+00:00,pass,1/2,7,0,0,7.0,21.0,-14.0
AB 1331,Assembly,Ordered to inactive file at the request of Senator Limón.,Failed,Do pass as amended,Senate,2025-08-29T07:00:00+00:00,pass,1/2,5,2,0,7.0,21.0,-16.0
AB 1337,Assembly,"In committee: Set, first hearing. Failed passage. Reconsideration granted.",Failed,Do pass as amended and be re-referred to the Committee on [Appropriations],Assembly,2025-04-01T07:00:00+00:00,pass,1/2,12,0,3,15.0,41.0,-29.0
AB 1337,Assembly,"In committee: Set, first hearing. Failed passage. Reconsideration granted.",Failed,Do pass as amended.,Assembly,2025-05-23T07:00:00+00:00,pass,1/2,11,1,3,15.0,41.0,-30.0
AB 1337,Assembly,"In committee: Set, first hearing. Failed passage. Reconsideration granted.",Failed,AB 1337 Ward Assembly Third Reading,Assembly,2025-06-03T02:37:43+00:00,pass,1/2,64,0,15,79.0,41.0,23.0
AB 1337,Assembly,"In committee: Set, first hearing. Failed passage. Reconsideration granted.",Failed,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",Senate,2025-07-15T07:00:00+00:00,fail,1/2,6,2,5,13.0,21.0,-15.0
AB 1337,Assembly,"In committee: Set, first hearing. Failed passage. Reconsideration granted.",Failed,[First] hearing set for [07-16-2025]: Failed passage in Committee. Reconsideration granted,Senate,2025-07-15T07:00:00+00:00,pass,1/2,13,0,0,13.0,21.0,-8.0
AB 1355,Assembly,In committee: Held under submission.,Failed,Do pass and be re-referred to the Committee on [Judiciary],Assembly,2025-04-22T07:00:00+00:00,pass,1/2,9,3,3,15.0,41.0,-32.0
AB 1355,Assembly,In committee: Held under submission.,Failed,Do pass as amended and be re-referred to the Committee on [Appropriations],Assembly,2025-04-29T07:00:00+00:00,pass,1/2,7,3,2,12.0,41.0,-34.0
AB 1405,Assembly,In committee: Held under submission.,Failed,Do pass as amended and be re-referred to the Committee on [Appropriations],Assembly,2025-04-01T07:00:00+00:00,pass,1/2,11,1,3,15.0,41.0,-30.0
AB 1405,Assembly,In committee: Held under submission.,Failed,Do pass.,Assembly,2025-05-23T07:00:00+00:00,pass,1/2,11,0,4,15.0,41.0,-30.0
AB 1405,Assembly,In committee: Held under submission.,Failed,AB 1405 Bauer-Kahan Assembly Third Reading,Assembly,2025-06-03T00:22:04+00:00,pass,1/2,62,4,13,79.0,41.0,21.0
AB 1405,Assembly,In committee: Held under submission.,Failed,"Do pass, but first be re-referred to the Committee on [Governmental Organization]",Senate,2025-07-01T07:00:00+00:00,pass,1/2,11,1,1,13.0,21.0,-10.0
AB 1405,Assembly,In committee: Held under submission.,Failed,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",Senate,2025-07-08T07:00:00+00:00,pass,1/2,11,2,2,15.0,21.0,-10.0
AB 1405,Assembly,In committee: Held under submission.,Failed,Placed on suspense file,Senate,2025-08-18T07:00:00+00:00,pass,1/2,7,0,0,7.0,21.0,-14.0
AB 2,Assembly,In committee: Hearing postponed by committee.,Failed,Do pass as amended and be re-referred to the Committee on [Judiciary],Assembly,2025-04-01T07:00:00+00:00,pass,1/2,9,0,6,15.0,41.0,-32.0
AB 2,Assembly,In committee: Hearing postponed by committee.,Failed,Do pass.,Assembly,2025-04-08T07:00:00+00:00,pass,1/2,9,0,3,12.0,41.0,-32.0
AB 2,Assembly,In committee: Hearing postponed by committee.,Failed,AB 2 Lowenthal Assembly Third Reading,Assembly,2025-05-12T21:31:25+00:00,pass,1/2,66,0,13,79.0,41.0,25.0
AB 222,Assembly,In committee: Held under submission.,Failed,Do pass as amended and be re-referred to the Committee on [Privacy and Consumer Protection],Assembly,2025-04-02T07:00:00+00:00,pass,1/2,13,5,0,18.0,41.0,-28.0
AB 222,Assembly,In committee: Held under submission.,Failed,Do pass as amended and be re-referred to the Committee on [Appropriations],Assembly,2025-05-01T07:00:00+00:00,pass,1/2,10,1,4,15.0,41.0,-31.0
AB 222,Assembly,In committee: Held under submission.,Failed,Do pass as amended.,Assembly,2025-05-23T07:00:00+00:00,pass,1/2,11,3,1,15.0,41.0,-30.0
AB 222,Assembly,In committee: Held under submission.,Failed,AB 222 Bauer-Kahan Assembly Third Reading,Assembly,2025-06-03T00:38:11+00:00,pass,1/2,57,18,4,79.0,41.0,16.0
AB 222,Assembly,In committee: Held under submission.,Failed,"Do pass as amended, but first amend, and re-refer to the Committee on [Judiciary]",Senate,2025-07-01T07:00:00+00:00,pass,1/2,13,3,1,17.0,21.0,-8.0
AB 222,Assembly,In committee: Held under submission.,Failed,"Do pass, but first be re-referred to the Committee on [Appropriations]",Senate,2025-07-15T07:00:00+00:00,pass,1/2,11,2,0,13.0,21.0,-10.0
AB 222,Assembly,In committee: Held under submission.,Failed,Placed on suspense file,Senate,2025-08-18T07:00:00+00:00,pass,1/2,7,0,0,7.0,21.0,-14.0
AB 279,Assembly,In committee: Held under submission.,Failed,Do pass as amended and be re-referred to the Committee on [Appropriations],Assembly,2025-03-12T07:00:00+00:00,pass,1/2,8,0,1,9.0,41.0,-33.0
AB 279,Assembly,In committee: Held under submission.,Failed,Do pass.,Assembly,2025-05-23T07:00:00+00:00,pass,1/2,14,0,1,15.0,41.0,-27.0
AB 279,Assembly,In committee: Held under submission.,Failed,AB 279 Patel Assembly Third Reading,Assembly,2025-06-03T18:01:15+00:00,pass,1/2,78,1,0,79.0,41.0,37.0
AB 279,Assembly,In committee: Held under submission.,Failed,"Do pass, but first be re-referred to the Committee on [Appropriations] with the recommendation: To Consent Calendar",Senate,2025-07-16T07:00:00+00:00,pass,1/2,7,0,0,7.0,21.0,-14.0
AB 279,Assembly,In committee: Held under submission.,Failed,Placed on suspense file,Senate,2025-08-18T07:00:00+00:00,pass,1/2,7,0,0,7.0,21.0,-14.0
AB 302,Assembly,In committee: Held under submission.,Failed,Do pass and be re-referred to the Committee on [Judiciary],Assembly,2025-04-22T07:00:00+00:00,pass,1/2,12,2,2,16.0,41.0,-29.0
AB 302,Assembly,In committee: Held under submission.,Failed,Do pass as amended and be re-referred to the Committee on [Appropriations],Assembly,2025-04-29T07:00:00+00:00,pass,1/2,9,3,0,12.0,41.0,-32.0
AB 302,Assembly,In committee: Held under submission.,Failed,Do pass.,Assembly,2025-05-14T07:00:00+00:00,pass,1/2,11,4,0,15.0,41.0,-30.0
AB 302,Assembly,In committee: Held under submission.,Failed,AB 302 Bauer-Kahan Assembly Third Reading,Assembly,2025-05-23T16:50:27+00:00,pass,1/2,56,11,12,79.0,41.0,15.0
AB 302,Assembly,In committee: Held under submission.,Failed,"Do pass as amended, but first amend, and re-refer to the Committee on [Public Safety]",Senate,2025-07-15T07:00:00+00:00,pass,1/2,11,0,2,13.0,21.0,-10.0
AB 302,Assembly,In committee: Held under submission.,Failed,Placed on suspense file,Senate,2025-08-18T07:00:00+00:00,pass,1/2,7,0,0,7.0,21.0,-14.0
AB 316,Assembly,"Chaptered by Secretary of State - Chapter 672, Statutes of 2025.",Signed,Do pass and be re-referred to the Committee on [Privacy and Consumer Protection],Assembly,2025-03-25T07:00:00+00:00,pass,1/2,12,0,0,12.0,41.0,-29.0
AB 316,Assembly,"Chaptered by Secretary of State - Chapter 672, Statutes of 2025.",Signed,Do pass.,Assembly,2025-05-06T07:00:00+00:00,pass,1/2,11,2,2,15.0,41.0,-30.0
AB 316,Assembly,"Chaptered by Secretary of State - Chapter 672, Statutes of 2025.",Signed,AB 316 Krell Assembly Third Reading,Assembly,2025-05-19T22:28:54+00:00,pass,1/2,70,1,8,79.0,41.0,29.0
AB 316,Assembly,"Chaptered by Secretary of State - Chapter 672, Statutes of 2025.",Signed,"Do pass, but first be re-referred to the Committee on [Appropriations]",Senate,2025-06-24T07:00:00+00:00,pass,1/2,12,0,1,13.0,21.0,-9.0
AB 316,Assembly,"Chaptered by Secretary of State - Chapter 672, Statutes of 2025.",Signed,Placed on suspense file,Senate,2025-07-07T07:00:00+00:00,pass,1/2,6,0,1,7.0,21.0,-15.0
AB 316,Assembly,"Chaptered by Secretary of State - Chapter 672, Statutes of 2025.",Signed,Do pass,Senate,2025-08-29T07:00:00+00:00,pass,1/2,7,0,0,7.0,21.0,-14.0
AB 316,Assembly,"Chaptered by Secretary of State - Chapter 672, Statutes of 2025.",Signed,3rd Reading AB316 Krell By Umberg,Senate,2025-09-08T07:00:00+00:00,pass,1/2,38,0,2,40.0,21.0,17.0
AB 316,Assembly,"Chaptered by Secretary of State - Chapter 672, Statutes of 2025.",Signed,AB 316 Krell Concurrence in Senate Amendments,Assembly,2025-09-09T22:01:56+00:00,pass,1/2,78,0,2,80.0,41.0,37.0
AB 322,Assembly,In committee: Held under submission.,Failed,Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar,Assembly,2025-03-12T07:00:00+00:00,pass,1/2,8,0,1,9.0,41.0,-33.0
AB 322,Assembly,In committee: Held under submission.,Failed,Do pass.,Assembly,2025-04-09T07:00:00+00:00,pass,1/2,10,0,5,15.0,41.0,-31.0
AB 322,Assembly,In committee: Held under submission.,Failed,AB 322 Ward Assembly Third Reading,Assembly,2025-04-21T21:32:15+00:00,pass,1/2,62,0,17,79.0,41.0,21.0
AB 322,Assembly,In committee: Held under submission.,Failed,"Do pass, but first be re-referred to the Committee on [Appropriations]",Senate,2025-06-11T07:00:00+00:00,pass,1/2,4,0,3,7.0,21.0,-17.0
AB 322,Assembly,In committee: Held under submission.,Failed,"Do pass, but first be re-referred to the Committee on [Appropriations]",Senate,2025-07-15T07:00:00+00:00,pass,1/2,11,2,0,13.0,21.0,-10.0
AB 322,Assembly,In committee: Held under submission.,Failed,Placed on suspense file,Senate,2025-08-18T07:00:00+00:00,pass,1/2,7,0,0,7.0,21.0,-14.0
AB 325,Assembly,"Chaptered by Secretary of State - Chapter 338, Statutes of 2025.",Signed,Do pass as amended and be re-referred to the Committee on [Privacy and Consumer Protection],Assembly,2025-04-08T07:00:00+00:00,pass,1/2,9,3,0,12.0,41.0,-32.0
AB 325,Assembly,"Chaptered by Secretary of State - Chapter 338, Statutes of 2025.",Signed,Do pass and be re-referred to the Committee on [Appropriations],Assembly,2025-05-01T07:00:00+00:00,pass,1/2,10,2,3,15.0,41.0,-31.0
AB 325,Assembly,"Chaptered by Secretary of State - Chapter 338, Statutes of 2025.",Signed,Do pass.,Assembly,2025-05-23T07:00:00+00:00,pass,1/2,11,3,1,15.0,41.0,-30.0
AB 325,Assembly,"Chaptered by Secretary of State - Chapter 338, Statutes of 2025.",Signed,AB 325 Aguiar-Curry Assembly Third Reading,Assembly,2025-06-02T21:05:51+00:00,pass,1/2,54,17,8,79.0,41.0,13.0
AB 325,Assembly,"Chaptered by Secretary of State - Chapter 338, Statutes of 2025.",Signed,"Do pass, but first be re-referred to the Committee on [Appropriations]",Senate,2025-07-01T07:00:00+00:00,pass,1/2,11,2,0,13.0,21.0,-10.0
AB 325,Assembly,"Chaptered by Secretary of State - Chapter 338, Statutes of 2025.",Signed,Placed on suspense file,Senate,2025-07-14T07:00:00+00:00,pass,1/2,7,0,0,7.0,21.0,-14.0
AB 325,Assembly,"Chaptered by Secretary of State - Chapter 338, Statutes of 2025.",Signed,Do pass as amended,Senate,2025-08-29T07:00:00+00:00,pass,1/2,5,2,0,7.0,21.0,-16.0
AB 325,Assembly,"Chaptered by Secretary of State - Chapter 338, Statutes of 2025.",Signed,3rd Reading AB325 Aguiar-Curry et al. By Umberg,Senate,2025-09-11T07:00:00+00:00,pass,1/2,29,9,2,40.0,21.0,8.0
AB 325,Assembly,"Chaptered by Secretary of State - Chapter 338, Statutes of 2025.",Signed,AB 325 Aguiar-Curry Concurrence in Senate Amendments,Assembly,2025-09-12T22:22:14+00:00,pass,1/2,54,18,8,80.0,41.0,13.0
AB 33,Assembly,Ordered to inactive file at the request of Senator Gonzalez.,Failed,Do pass and be re-referred to the Committee on [Appropriations],Assembly,2025-04-21T07:00:00+00:00,pass,1/2,12,2,2,16.0,41.0,-29.0
AB 33,Assembly,Ordered to inactive file at the request of Senator Gonzalez.,Failed,Do pass.,Assembly,2025-05-23T07:00:00+00:00,pass,1/2,11,1,3,15.0,41.0,-30.0
AB 33,Assembly,Ordered to inactive file at the request of Senator Gonzalez.,Failed,AB 33 Aguiar-Curry Assembly Third Reading,Assembly,2025-05-29T18:07:11+00:00,pass,1/2,57,7,15,79.0,41.0,16.0
AB 33,Assembly,Ordered to inactive file at the request of Senator Gonzalez.,Failed,"Do pass, but first be re-referred to the Committee on [Judiciary]",Senate,2025-06-24T07:00:00+00:00,pass,1/2,10,3,2,15.0,21.0,-11.0
AB 33,Assembly,Ordered to inactive file at the request of Senator Gonzalez.,Failed,Placed on suspense file,Senate,2025-07-14T07:00:00+00:00,pass,1/2,7,0,0,7.0,21.0,-14.0
AB 33,Assembly,Ordered to inactive file at the request of Senator Gonzalez.,Failed,Do pass,Senate,2025-08-29T07:00:00+00:00,pass,1/2,5,2,0,7.0,21.0,-16.0
AB 392,Assembly,In committee: Held under submission.,Failed,Do pass and be re-referred to the Committee on [Judiciary],Assembly,2025-04-01T07:00:00+00:00,pass,1/2,14,0,1,15.0,41.0,-27.0
AB 392,Assembly,In committee: Held under submission.,Failed,Do pass as amended and be re-referred to the Committee on [Appropriations],Assembly,2025-04-22T07:00:00+00:00,pass,1/2,12,0,0,12.0,41.0,-29.0
AB 392,Assembly,In committee: Held under submission.,Failed,Do pass as amended.,Assembly,2025-05-23T07:00:00+00:00,pass,1/2,14,0,1,15.0,41.0,-27.0
