author,Failed,Signed,Vetoed,Total
Aisha Wahab,3,0,0,3
Akilah Weber Pierson,1,0,0,1
Angelique Ashby,0,0,1,1
Anna Caballero,1,0,0,1
Buffy Wicks,0,2,0,2
Cecilia Aguiar-Curry,1,1,0,2
Chris Ward,4,0,0,4
Darsh Patel,1,0,0,1
Dawn Addis,1,0,0,1
Diane Dixon,1,0,0,1
Diane Papan,1,0,1,2
Gail Pellerin,1,1,0,2
Henry Stern,1,0,0,1
Isaac Bryan,1,0,0,1
Jacqui Irwin,0,1,0,1
Jerry McNerney,3,0,1,4
Jesse Arreguín,0,1,0,1
John Harabedian,0,0,1,1
Josh Becker,1,1,0,2
Josh Lowenthal,1,1,0,2
Liz Ortega,0,0,1,1
Lola Smallwood-Cuevas,2,0,0,2
Lori Wilson,1,0,0,1
Maggy Krell,1,1,0,2
Marc Berman,1,0,0,1
Melissa Hurtado,1,1,0,2
Mia Bonta,0,1,0,1
Monique Limón,1,0,0,1
Rebecca Bauer-Kahan,5,3,1,9
Rick Zbur,1,0,0,1
Sabrina Cervantes,0,1,1,2
Sade Elhawary,1,0,0,1
Sasha Pérez,1,0,0,1
Scott Wiener,0,1,0,1
Stephanie Nguyen,1,0,0,1
Steve Padilla,3,2,0,5
Tina McKinnor,1,0,0,1
Tom Umberg,1,2,0,3
