bill_number,chamber,success,motion_text,vote_location,vote_date,vote_result,yes_count,no_count,other_count,total_votes,vote_threshold_num,vote_margin
AB 1018,Assembly,Failed,Do pass and be re-referred to the Committee on [Judiciary],Assembly,2025-04-22T07:00:00+00:00,pass,9,3,3,15.0,41.0,-32.0
AB 1018,Assembly,Failed,Do pass as amended and be re-referred to the Committee on [Appropriations],Assembly,2025-04-29T07:00:00+00:00,pass,8,3,1,12.0,41.0,-33.0
AB 1018,Assembly,Failed,Do pass.,Assembly,2025-05-23T07:00:00+00:00,pass,10,3,2,15.0,41.0,-31.0
AB 1018,Assembly,Failed,AB 1018 Bauer-Kahan Assembly Third Reading,Assembly,2025-06-03T03:10:50+00:00,pass,50,16,13,79.0,41.0,9.0
AB 1018,Assembly,Failed,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",Senate,2025-07-15T07:00:00+00:00,pass,11,2,0,13.0,21.0,-10.0
AB 1018,Assembly,Failed,Placed on suspense file,Senate,2025-08-18T07:00:00+00:00,pass,7,0,0,7.0,21.0,-14.0
AB 1018,Assembly,Failed,Do pass,Senate,2025-08-29T07:00:00+00:00,pass,5,2,0,7.0,21.0,-16.0
AB 1043,Assembly,Signed,Do pass and be re-referred to the Committee on [Judiciary],Assembly,2025-04-22T07:00:00+00:00,pass,13,0,2,15.0,41.0,-28.0
AB 1043,Assembly,Signed,Do pass and be re-referred to the Committee on [Appropriations],Assembly,2025-04-29T07:00:00+00:00,pass,12,0,0,12.0,41.0,-29.0
AB 1043,Assembly,Signed,Do pass as amended.,Assembly,2025-05-23T07:00:00+00:00,pass,11,0,4,15.0,41.0,-30.0
AB 1043,Assembly,Signed,AB 1043 Wicks Assembly Third Reading,Assembly,2025-06-03T02:20:16+00:00,pass,76,0,3,79.0,41.0,35.0
AB 1043,Assembly,Signed,AB 1043 WICKS Concurrence in Senate Amendments,Assembly,2025-09-13T09:32:08+00:00,pass,77,0,3,80.0,41.0,36.0
AB 1043,Assembly,Signed,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",Senate,2025-07-15T07:00:00+00:00,pass,12,0,1,13.0,21.0,-9.0
AB 1043,Assembly,Signed,Placed on suspense file,Senate,2025-08-18T07:00:00+00:00,pass,7,0,0,7.0,21.0,-14.0
AB 1043,Assembly,Signed,Do pass,Senate,2025-08-29T07:00:00+00:00,pass,7,0,0,7.0,21.0,-14.0
AB 1043,Assembly,Signed,3rd Reading AB1043 Wicks et al. By Umberg,Senate,2025-09-12T07:00:00+00:00,pass,38,0,2,40.0,21.0,17.0
AB 1053,Assembly,Failed,Do pass and be re-referred to the Committee on [Appropriations],Assembly,2025-04-30T07:00:00+00:00,pass,7,1,1,9.0,41.0,-34.0
AB 1064,Assembly,Vetoed,Do pass and be re-referred to the Committee on [Judiciary],Assembly,2025-04-22T07:00:00+00:00,pass,10,3,2,15.0,41.0,-31.0
AB 1064,Assembly,Vetoed,Do pass as amended and be re-referred to the Committee on [Appropriations],Assembly,2025-04-29T07:00:00+00:00,pass,9,3,0,12.0,41.0,-32.0
AB 1064,Assembly,Vetoed,Do pass as amended.,Assembly,2025-05-23T07:00:00+00:00,pass,11,3,1,15.0,41.0,-30.0
AB 1064,Assembly,Vetoed,AB 1064 Bauer-Kahan Assembly Third Reading,Assembly,2025-06-03T03:22:39+00:00,pass,59,12,8,79.0,41.0,18.0
AB 1064,Assembly,Vetoed,AB 1064 Bauer-Kahan Concurrence in Senate Amendments,Assembly,2025-09-12T03:48:38+00:00,pass,60,8,12,80.0,41.0,19.0
AB 1064,Assembly,Vetoed,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",Senate,2025-07-15T07:00:00+00:00,pass,11,1,1,13.0,21.0,-10.0
AB 1064,Assembly,Vetoed,Placed on suspense file,Senate,2025-08-18T07:00:00+00:00,pass,7,0,0,7.0,21.0,-14.0
AB 1064,Assembly,Vetoed,Do pass as amended,Senate,2025-08-29T07:00:00+00:00,pass,5,2,0,7.0,21.0,-16.0
AB 1064,Assembly,Vetoed,3rd Reading AB1064 Bauer-Kahan et al. By Ashby,Senate,2025-09-10T07:00:00+00:00,pass,31,6,3,40.0,21.0,10.0
AB 1095,Assembly,Failed,Do pass and be re-referred to the Committee on [Natural Resources] with recommendation: To Consent Calendar,Assembly,2025-04-23T07:00:00+00:00,pass,18,0,0,18.0,41.0,-23.0
AB 1095,Assembly,Failed,Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar,Assembly,2025-04-28T07:00:00+00:00,pass,14,0,0,14.0,41.0,-27.0
AB 1137,Assembly,Failed,Do pass and be re-referred to the Committee on [Judiciary],Assembly,2025-04-22T07:00:00+00:00,pass,13,0,2,15.0,41.0,-28.0
AB 1137,Assembly,Failed,Do pass and be re-referred to the Committee on [Appropriations],Assembly,2025-04-29T07:00:00+00:00,pass,11,0,1,12.0,41.0,-30.0
AB 1159,Assembly,Failed,,,,,,,,,,
AB 1221,Assembly,Failed,Do pass and be re-referred to the Committee on [Privacy and Consumer Protection],Assembly,2025-04-02T07:00:00+00:00,pass,5,0,2,7.0,41.0,-36.0
AB 1221,Assembly,Failed,Do pass and be re-referred to the Committee on [Privacy and Consumer Protection],Assembly,2025-04-02T07:00:00+00:00,pass,5,0,2,7.0,41.0,-36.0
AB 1221,Assembly,Failed,Do pass as amended and be re-referred to the Committee on [Appropriations],Assembly,2025-05-01T07:00:00+00:00,pass,10,1,4,15.0,41.0,-31.0
AB 1221,Assembly,Failed,Do pass as amended and be re-referred to the Committee on [Appropriations],Assembly,2025-05-01T07:00:00+00:00,pass,10,1,4,15.0,41.0,-31.0
AB 1242,Assembly,Failed,Do pass and be re-referred to the Committee on [Human Services],Assembly,2025-04-22T07:00:00+00:00,pass,16,0,0,16.0,41.0,-25.0
AB 1242,Assembly,Failed,Do pass and be re-referred to the Committee on [Appropriations],Assembly,2025-04-29T07:00:00+00:00,pass,6,0,1,7.0,41.0,-35.0
AB 1242,Assembly,Failed,Do pass as amended.,Assembly,2025-05-23T07:00:00+00:00,pass,11,1,3,15.0,41.0,-30.0
AB 1242,Assembly,Failed,AB 1242 Nguyen Assembly Third Reading,Assembly,2025-06-04T00:49:23+00:00,pass,72,3,4,79.0,41.0,31.0
AB 1242,Assembly,Failed,"Do pass, but first be re-referred to the Committee on [Governmental Organization]",Senate,2025-07-02T07:00:00+00:00,pass,10,0,1,11.0,21.0,-11.0
AB 1242,Assembly,Failed,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",Senate,2025-07-08T07:00:00+00:00,pass,11,0,4,15.0,21.0,-10.0
AB 1242,Assembly,Failed,Placed on suspense file,Senate,2025-08-18T07:00:00+00:00,pass,7,0,0,7.0,21.0,-14.0
AB 1331,Assembly,Failed,Do pass and be re-referred to the Committee on [Privacy and Consumer Protection],Assembly,2025-04-02T07:00:00+00:00,pass,5,0,2,7.0,41.0,-36.0
AB 1331,Assembly,Failed,Do pass and be re-referred to the Committee on [Privacy and Consumer Protection],Assembly,2025-04-02T07:00:00+00:00,pass,5,0,2,7.0,41.0,-36.0
AB 1331,Assembly,Failed,Do pass as amended and be re-referred to the Committee on [Judiciary],Assembly,2025-04-22T07:00:00+00:00,pass,10,3,2,15.0,41.0,-31.0
AB 1331,Assembly,Failed,Do pass as amended and be re-referred to the Committee on [Judiciary],Assembly,2025-04-22T07:00:00+00:00,pass,10,3,2,15.0,41.0,-31.0
AB 1331,Assembly,Failed,Do pass as amended.,Assembly,2025-05-23T07:00:00+00:00,pass,11,3,1,15.0,41.0,-30.0
AB 1331,Assembly,Failed,Do pass as amended.,Assembly,2025-05-23T07:00:00+00:00,pass,11,3,1,15.0,41.0,-30.0
AB 1331,Assembly,Failed,AB 1331 Elhawary Assembly Third Reading,Assembly,2025-06-06T00:00:56+00:00,pass,55,15,9,79.0,41.0,14.0
AB 1331,Assembly,Failed,AB 1331 Elhawary Assembly Third Reading,Assembly,2025-06-06T00:00:56+00:00,pass,55,15,9,79.0,41.0,14.0
AB 1331,Assembly,Failed,"Do pass, but first be re-referred to the Committee on [Judiciary]",Senate,2025-06-25T07:00:00+00:00,pass,4,1,0,5.0,21.0,-17.0
AB 1331,Assembly,Failed,"Do pass, but first be re-referred to the Committee on [Judiciary]",Senate,2025-06-25T07:00:00+00:00,pass,4,1,0,5.0,21.0,-17.0
AB 1331,Assembly,Failed,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",Senate,2025-07-15T07:00:00+00:00,pass,9,2,2,13.0,21.0,-12.0
AB 1331,Assembly,Failed,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",Senate,2025-07-15T07:00:00+00:00,pass,9,2,2,13.0,21.0,-12.0
AB 1331,Assembly,Failed,Placed on suspense file,Senate,2025-08-18T07:00:00+00:00,pass,7,0,0,7.0,21.0,-14.0
AB 1331,Assembly,Failed,Placed on suspense file,Senate,2025-08-18T07:00:00+00:00,pass,7,0,0,7.0,21.0,-14.0
AB 1331,Assembly,Failed,Do pass as amended,Senate,2025-08-29T07:00:00+00:00,pass,5,2,0,7.0,21.0,-16.0
AB 1331,Assembly,Failed,Do pass as amended,Senate,2025-08-29T07:00:00+00:00,pass,5,2,0,7.0,21.0,-16.0
AB 1337,Assembly,Failed,Do pass as amended and be re-referred to the Committee on [Appropriations],Assembly,2025-04-01T07:00:00+00:00,pass,12,0,3,15.0,41.0,-29.0
AB 1337,Assembly,Failed,Do pass as amended.,Assembly,2025-05-23T07:00:00+00:00,pass,11,1,3,15.0,41.0,-30.0
AB 1337,Assembly,Failed,AB 1337 Ward Assembly Third Reading,Assembly,2025-06-03T02:37:43+00:00,pass,64,0,15,79.0,41.0,23.0
AB 1337,Assembly,Failed,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",Senate,2025-07-15T07:00:00+00:00,fail,6,2,5,13.0,21.0,-15.0
AB 1337,Assembly,Failed,[First] hearing set for [07-16-2025]: Failed passage in Committee. Reconsideration granted,Senate,2025-07-15T07:00:00+00:00,pass,13,0,0,13.0,21.0,-8.0
AB 1355,Assembly,Failed,Do pass and be re-referred to the Committee on [Judiciary],Assembly,2025-04-22T07:00:00+00:00,pass,9,3,3,15.0,41.0,-32.0
AB 1355,Assembly,Failed,Do pass as amended and be re-referred to the Committee on [Appropriations],Assembly,2025-04-29T07:00:00+00:00,pass,7,3,2,12.0,41.0,-34.0
AB 1405,Assembly,Failed,Do pass as amended and be re-referred to the Committee on [Appropriations],Assembly,2025-04-01T07:00:00+00:00,pass,11,1,3,15.0,41.0,-30.0
AB 1405,Assembly,Failed,Do pass.,Assembly,2025-05-23T07:00:00+00:00,pass,11,0,4,15.0,41.0,-30.0
AB 1405,Assembly,Failed,AB 1405 Bauer-Kahan Assembly Third Reading,Assembly,2025-06-03T00:22:04+00:00,pass,62,4,13,79.0,41.0,21.0
AB 1405,Assembly,Failed,"Do pass, but first be re-referred to the Committee on [Governmental Organization]",Senate,2025-07-01T07:00:00+00:00,pass,11,1,1,13.0,21.0,-10.0
AB 1405,Assembly,Failed,"Do pass as amended, but first amend, and re-refer to the Committee on [Appropriations]",Senate,2025-07-08T07:00:00+00:00,pass,11,2,2,15.0,21.0,-10.0
AB 1405,Assembly,Failed,Placed on suspense file,Senate,2025-08-18T07:00:00+00:00,pass,7,0,0,7.0,21.0,-14.0
AB 2,Assembly,Failed,Do pass as amended and be re-referred to the Committee on [Judiciary],Assembly,2025-04-01T07:00:00+00:00,pass,9,0,6,15.0,41.0,-32.0
AB 2,Assembly,Failed,Do pass.,Assembly,2025-04-08T07:00:00+00:00,pass,9,0,3,12.0,41.0,-32.0
AB 2,Assembly,Failed,AB 2 Lowenthal Assembly Third Reading,Assembly,2025-05-12T21:31:25+00:00,pass,66,0,13,79.0,41.0,25.0
AB 222,Assembly,Failed,Do pass as amended and be re-referred to the Committee on [Privacy and Consumer Protection],Assembly,2025-04-02T07:00:00+00:00,pass,13,5,0,18.0,41.0,-28.0
AB 222,Assembly,Failed,Do pass as amended and be re-referred to the Committee on [Appropriations],Assembly,2025-05-01T07:00:00+00:00,pass,10,1,4,15.0,41.0,-31.0
AB 222,Assembly,Failed,Do pass as amended.,Assembly,2025-05-23T07:00:00+00:00,pass,11,3,1,15.0,41.0,-30.0
AB 222,Assembly,Failed,AB 222 Bauer-Kahan Assembly Third Reading,Assembly,2025-06-03T00:38:11+00:00,pass,57,18,4,79.0,41.0,16.0
AB 222,Assembly,Failed,"Do pass as amended, but first amend, and re-refer to the Committee on [Judiciary]",Senate,2025-07-01T07:00:00+00:00,pass,13,3,1,17.0,21.0,-8.0
AB 222,Assembly,Failed,"Do pass, but first be re-referred to the Committee on [Appropriations]",Senate,2025-07-15T07:00:00+00:00,pass,11,2,0,13.0,21.0,-10.0
AB 222,Assembly,Failed,Placed on suspense file,Senate,2025-08-18T07:00:00+00:00,pass,7,0,0,7.0,21.0,-14.0
AB 279,Assembly,Failed,Do pass as amended and be re-referred to the Committee on [Appropriations],Assembly,2025-03-12T07:00:00+00:00,pass,8,0,1,9.0,41.0,-33.0
AB 279,Assembly,Failed,Do pass.,Assembly,2025-05-23T07:00:00+00:00,pass,14,0,1,15.0,41.0,-27.0
AB 279,Assembly,Failed,AB 279 Patel Assembly Third Reading,Assembly,2025-06-03T18:01:15+00:00,pass,78,1,0,79.0,41.0,37.0
AB 279,Assembly,Failed,"Do pass, but first be re-referred to the Committee on [Appropriations] with the recommendation: To Consent Calendar",Senate,2025-07-16T07:00:00+00:00,pass,7,0,0,7.0,21.0,-14.0
AB 279,Assembly,Failed,Placed on suspense file,Senate,2025-08-18T07:00:00+00:00,pass,7,0,0,7.0,21.0,-14.0
AB 302,Assembly,Failed,Do pass and be re-referred to the Committee on [Judiciary],Assembly,2025-04-22T07:00:00+00:00,pass,12,2,2,16.0,41.0,-29.0
AB 302,Assembly,Failed,Do pass and be re-referred to the Committee on [Judiciary],Assembly,2025-04-22T07:00:00+00:00,pass,12,2,2,16.0,41.0,-29.0
AB 302,Assembly,Failed,Do pass as amended and be re-referred to the Committee on [Appropriations],Assembly,2025-04-29T07:00:00+00:00,pass,9,3,0,12.0,41.0,-32.0
AB 302,Assembly,Failed,Do pass as amended and be re-referred to the Committee on [Appropriations],Assembly,2025-04-29T07:00:00+00:00,pass,9,3,0,12.0,41.0,-32.0
AB 302,Assembly,Failed,Do pass.,Assembly,2025-05-14T07:00:00+00:00,pass,11,4,0,15.0,41.0,-30.0
AB 302,Assembly,Failed,Do pass.,Assembly,2025-05-14T07:00:00+00:00,pass,11,4,0,15.0,41.0,-30.0
AB 302,Assembly,Failed,AB 302 Bauer-Kahan Assembly Third Reading,Assembly,2025-05-23T16:50:27+00:00,pass,56,11,12,79.0,41.0,15.0
AB 302,Assembly,Failed,AB 302 Bauer-Kahan Assembly Third Reading,Assembly,2025-05-23T16:50:27+00:00,pass,56,11,12,79.0,41.0,15.0
AB 302,Assembly,Failed,"Do pass as amended, but first amend, and re-refer to the Committee on [Public Safety]",Senate,2025-07-15T07:00:00+00:00,pass,11,0,2,13.0,21.0,-10.0
AB 302,Assembly,Failed,"Do pass as amended, but first amend, and re-refer to the Committee on [Public Safety]",Senate,2025-07-15T07:00:00+00:00,pass,11,0,2,13.0,21.0,-10.0
AB 302,Assembly,Failed,Placed on suspense file,Senate,2025-08-18T07:00:00+00:00,pass,7,0,0,7.0,21.0,-14.0
AB 302,Assembly,Failed,Placed on suspense file,Senate,2025-08-18T07:00:00+00:00,pass,7,0,0,7.0,21.0,-14.0
AB 316,Assembly,Signed,Do pass and be re-referred to the Committee on [Privacy and Consumer Protection],Assembly,2025-03-25T07:00:00+00:00,pass,12,0,0,12.0,41.0,-29.0
AB 316,Assembly,Signed,Do pass.,Assembly,2025-05-06T07:00:00+00:00,pass,11,2,2,15.0,41.0,-30.0
AB 316,Assembly,Signed,AB 316 Krell Assembly Third Reading,Assembly,2025-05-19T22:28:54+00:00,pass,70,1,8,79.0,41.0,29.0
AB 316,Assembly,Signed,AB 316 Krell Concurrence in Senate Amendments,Assembly,2025-09-09T22:01:56+00:00,pass,78,0,2,80.0,41.0,37.0
AB 316,Assembly,Signed,"Do pass, but first be re-referred to the Committee on [Appropriations]",Senate,2025-06-24T07:00:00+00:00,pass,12,0,1,13.0,21.0,-9.0
AB 316,Assembly,Signed,Placed on suspense file,Senate,2025-07-07T07:00:00+00:00,pass,6,0,1,7.0,21.0,-15.0
AB 316,Assembly,Signed,Do pass,Senate,2025-08-29T07:00:00+00:00,pass,7,0,0,7.0,21.0,-14.0
