Bill No,Bill Name,Assigned Topic ,Megan Topic,Megan's Notes,Include?
AB 682,Health care coverage reporting.,Health,Health,,Yes
SB 58,Sales and Use Tax Law: exemptions: certified data center facilities.,"Data, Surveillence, Privacy",Environment,,Yes
SB 102,Budget Act of 2025.,,"AI Mention, Not Substantive AI Policy",,No
SB 813,Multistakeholder regulatory organizations.,,Safety,,Yes
SB 57,Electrical corporations: data centers: report.,"Data, Surveillence, Privacy",Environment,,Yes
AB 316,Artificial intelligence: defenses.,AI,Judicial & Criminal Legal System,,Yes
AB 1170,Maintenance of the codes.,,"AI Mention, Not Substantive AI Policy",,No
SB 361,Data brokers: data collection and deletion.,"Data, Surveillence, Privacy","Data, Surveillence, Privacy",,Yes
SB 384,Preventing Algorithmic Price Fixing Act: prohibition on certain price-setting algorithm uses.,"AI; Collusion, Price Fixing",Collusion/Price Fixing,,Yes
SB 420,Automated decision systems.,AI,Government,,Yes
AB 102,Budget Act of 2025.,,"AI Mention, Not Substantive AI Policy",,No
SB 11,Artificial intelligence technology.,AI,Disinformation,,Yes
SB 63,San Francisco Bay area: local revenue measure: public transit funding.,,"AI Mention, Not Substantive AI Policy",,No
AB 512,Health care coverage: prior authorization.,Health,Health,,Yes
AB 489,Health care professions: deceptive terms or letters: artificial intelligence.,AI,Health,,Yes
SB 243,Companion chatbots.,AI,Kids,,Yes
AB 103,"Budget Acts of 2022, 2023, and 2024.",,"AI Mention, Not Substantive AI Policy",,No
AB 446,Surveillance pricing.,"Collusion, Price Fixing; Data, Surveillence, Privacy",Collusion/Price Fixing,,Yes
AB 979,California Cybersecurity Integration Center: artificial intelligence.,"AI; Data, Surveillence, Privacy",Government,,Yes
SB 468,High-risk artificial intelligence systems: duty to protect personal information.,"AI; Data, Surveillence, Privacy","Data, Surveillence, Privacy",,Yes
SB 857,Public safety omnibus.,Safety,Kids,,Yes
SB 103,"Budget Acts of 2022, 2023, and 2024.",,"AI Mention, Not Substantive AI Policy",,No
SB 53,Artificial intelligence models: large developers.,AI,Safety,,Yes
AB 2,Injuries to children: civil penalties.,Kids,Kids,,Yes
SB 238,Workplace surveillance tools.,"Data, Surveillence, Privacy; Labor",Labor,,Yes
AB 302,Data brokers: elected officials and judges.,"Data, Surveillence, Privacy; Judicial System","Data, Surveillence, Privacy",,Yes
AB 222,Data centers: power usage effectiveness: cost shifts.,"Data, Surveillence, Privacy",Environment,,Yes
AB 566,California Consumer Privacy Act of 2018: opt-out preference signal.,"AI; Data, Surveillence, Privacy","Data, Surveillence, Privacy",,Yes
SB 295,California Preventing Algorithmic Collusion Act of 2025.,"AI; Collusion, Price Fixing; Data, Surveillence, Privacy",Collusion/Price Fixing,,Yes
AB 33,Autonomous vehicles.,AI,Safety,,Yes
SB 101,Budget Act of 2025.,,"AI Mention, Not Substantive AI Policy",,No
AB 1018,Automated decision systems.,AI,Discrimination,,Yes
SB 47,February 2025 bar exam: audit.,,Judicial & Criminal Legal System,,Yes
AB 1221,Workplace surveillance tools.,"Data, Surveillence, Privacy; Labor",Labor,,Yes
AB 970,Child abuse and neglect reporting.,,Kids,,Yes
AB 1337,Information Practices Act of 1977.,"Data, Surveillence, Privacy","Data, Surveillence, Privacy",,Yes
AB 101,Budget Act of 2025.,,"AI Mention, Not Substantive AI Policy",,No
AB 1064,Leading Ethical AI Development (LEAD) for Kids Act.,AI,Kids,,Yes
SB 503,Health care services: artificial intelligence.,AI,Health,,Yes
AB 325,Cartwright Act: violations.,,Collusion/Price Fixing,,Yes
AB 1053,Educational technology: evaluation and selection.,Education,Education,,Yes
AB 502,Elections: deceptive media in advertisements.,AI; Disinformation,Disinformation,,Yes
SB 274,Automated license plate recognition systems.,,"Data, Surveillence, Privacy",,Yes
SB 241,Community colleges: personnel: qualifications.,,Labor,,Yes
SB 7,Employment: automated decision systems.,AI; Labor,Labor,,Yes
SB 638,California Education Interagency Council: California Career Technical Education Incentive Grant Program.,,"AI Mention, Not Substantive AI Policy",,No
AB 621,Deepfake pornography.,,Disinformation,,Yes
AB 887,Pupil instruction: high schools: computer science courses: California Computer Science Demonstration Grant Program: reporting.,AI; Education,Education,,Yes
AB 1137,Reporting mechanism: child sexual abuse material.,Kids,Kids,,Yes
AB 93,Water resources: data centers.,"AI; Data, Surveillence, Privacy",Environment,,Yes
AB 1159,Student personal information.,,Education,,Yes
SB 690,Crimes: invasion of privacy.,"Data, Surveillence, Privacy","Data, Surveillence, Privacy",,Yes
SB 52,Housing rental terms: algorithmic devices.,AI; Housing,Collusion/Price Fixing,,Yes
SB 833,Critical infrastructure: artificial intelligence systems: human oversight.,AI,Government,,Yes
AB 1331,Workplace surveillance.,"Data, Surveillence, Privacy; Labor",Labor,,Yes
AB 1355,Location privacy.,"Data, Surveillence, Privacy","Data, Surveillence, Privacy",,Yes
AB 279,School libraries: model library standards.,,Education,,Yes
SB 435,California Consumer Privacy Act of 2018: sensitive personal information.,"AI; Data, Surveillence, Privacy","Data, Surveillence, Privacy",,Yes
SB 524,Law enforcement agencies: artificial intelligence.,"AI; Data, Surveillence, Privacy; Government",Safety,,Yes
AB 1405,Artificial intelligence: auditors: enrollment.,AI,Government,,Yes
AB 1242,Language access.,,Government,,Yes
SB 579,Mental health and artificial intelligence working group.,AI; Health,Health,,Yes
AB 322,Precise geolocation information.,,"Data, Surveillence, Privacy",,Yes
SB 366,Employment: artificial intelligence.,AI; Labor,Labor,,Yes
AB 1043,Age verification signals: software applications and online services.,,Kids,,Yes
AB 392,Pornographic internet websites: consent.,,Disinformation,,Yes
AB 853,California AI Transparency Act.,"AI; Data, Surveillence, Privacy",Disinformation,,Yes
AB 723,Real estate: digitally altered images: disclosure.,,Disinformation,,Yes
AB 56,Social media: warning labels.,,Health,,Yes
AB 412,Generative artificial intelligence: training data: copyrighted materials.,"AI; Data, Surveillence, Privacy; Labor","Data, Surveillence, Privacy",,Yes
AB 1024,Department of Fish and Wildlife: San Gabriel Valley Bear Management and Community Safety Act.,,"AI Mention, Not Substantive AI Policy",,No
