bill_number,chamber,status,success,motion_text,vote_location,vote_date,vote_result,vote_threshold,yes_count,no_count,other_count,total_votes,vote_threshold_num,vote_margin,vote_type
AB 1018,Assembly,Ordered to inactive file at the request of Senator Wiener.,Failed,AB 1018 Bauer-Kahan Assembly Third Reading,Assembly,2025-06-03T03:10:50+00:00,pass,1/2,50,16,13,79.0,41.0,9.0,Origin House
AB 1242,Assembly,In committee: Held under submission.,Failed,AB 1242 Nguyen Assembly Third Reading,Assembly,2025-06-04T00:49:23+00:00,pass,1/2,72,3,4,79.0,41.0,31.0,Origin House
AB 1331,Assembly,Ordered to inactive file at the request of Senator Limón.,Failed,AB 1331 Elhawary Assembly Third Reading,Assembly,2025-06-06T00:00:56+00:00,pass,1/2,55,15,9,79.0,41.0,14.0,Origin House
AB 1337,Assembly,"In committee: Set, first hearing. Failed passage. Reconsideration granted.",Failed,AB 1337 Ward Assembly Third Reading,Assembly,2025-06-03T02:37:43+00:00,pass,1/2,64,0,15,79.0,41.0,23.0,Origin House
AB 1405,Assembly,In committee: Held under submission.,Failed,AB 1405 Bauer-Kahan Assembly Third Reading,Assembly,2025-06-03T00:22:04+00:00,pass,1/2,62,4,13,79.0,41.0,21.0,Origin House
AB 2,Assembly,In committee: Hearing postponed by committee.,Failed,AB 2 Lowenthal Assembly Third Reading,Assembly,2025-05-12T21:31:25+00:00,pass,1/2,66,0,13,79.0,41.0,25.0,Origin House
AB 222,Assembly,In committee: Held under submission.,Failed,AB 222 Bauer-Kahan Assembly Third Reading,Assembly,2025-06-03T00:38:11+00:00,pass,1/2,57,18,4,79.0,41.0,16.0,Origin House
AB 279,Assembly,In committee: Held under submission.,Failed,AB 279 Patel Assembly Third Reading,Assembly,2025-06-03T18:01:15+00:00,pass,1/2,78,1,0,79.0,41.0,37.0,Origin House
AB 302,Assembly,In committee: Held under submission.,Failed,AB 302 Bauer-Kahan Assembly Third Reading,Assembly,2025-05-23T16:50:27+00:00,pass,1/2,56,11,12,79.0,41.0,15.0,Origin House
AB 322,Assembly,In committee: Held under submission.,Failed,AB 322 Ward Assembly Third Reading,Assembly,2025-04-21T21:32:15+00:00,pass,1/2,62,0,17,79.0,41.0,21.0,Origin House
